name,iso3,isoNumber
ETHIOPIA,ETH,231
FALKLAND ISLANDS (MALVINAS),FLK,238
FAROE ISLANDS,FRO,234
FIJI,FJI,242
FINLAND,FIN,246
FRANCE,FRA,250
FRENCH GUIANA,GUF,254
FRENCH POLYNESIA,PYF,258
FRENCH SOUTHERN TERRITORIES,ATF,260
GABON,GAB,266
GAMBIA,GMB,270
GEORGIA,GEO,268
GERMANY,DEU,276
GHANA,GHA,288
GIBRALTAR,GIB,292
GREECE,GRC,300
GREENLAND,GRL,304
GRENADA,GRD,308
GUADELOUPE,GLP,312
GUAM,GUM,316
GUATEMALA,GTM,320
GUINEA,GIN,324
GUINEA-BISSAU,GNB,624
GUYANA,GUY,328
HAITI,HTI,332
HEARD AND MC DONALD ISLANDS,HMD,334
HONDURAS,HND,340
HONG KONG,HKG,344
HUNGARY,HUN,348
ICELAND,ISL,352
INDIA,IND,356
INDONESIA,IDN,360
IRAN,IRN,364
IRAQ,IRQ,368
IRELAND,IRL,372
ISRAEL,ISR,376
ITALY,ITA,380
JAMAICA,JAM,388
JAPAN,JPN,392
JORDAN,JOR,400
KAZAKHSTAN,KAZ,398
KENYA,KEN,404
KIRIBATI,KIR,296
KOREA,KOR,410
KUWAIT,KWT,414
KYRGYZSTAN,KGZ,417
LAO PEOPLE'S DEMOCRATIC REPUBLIC,LAO,418
LATVIA,LVA,428
LEBANON,LBN,422
LESOTHO,LSO,426
LIBERIA,LBR,430
LIBYAN ARAB JAMAHIRIYA,LBY,434
LIECHTENSTEIN,LIE,438
LITHUANIA,LTU,440
LUXEMBOURG,LUX,442
MACAU,MAC,446
MACEDONIA THE FORMER YUGOSLAV REPUBLIC OF,MKD,807
MADAGASCAR,MDG,450
MALAWI,MWI,454
MALAYSIA,MYS,458
MALDIVES,MDV,462
MALI,MLI,466
MALTA,MLT,470
MARSHALL ISLANDS,MHL,584
MARTINIQUE,MTQ,474
MAURITANIA,MRT,478
MAURITIUS,MUS,480
MAYOTTE,MYT,175
MEXICO,MEX,484
MICRONESIA,FSM,583
MOLDOVA,MDA,498
MONACO,MCO,492
MONGOLIA,MNG,496
MONTSERRAT,MSR,500
MOROCCO,MAR,504
MOZAMBIQUE,MOZ,508
MYANMAR,MMR,104
NAMIBIA,NAM,516
NAURU,NRU,520
NEPAL,NPL,524
NETHERLANDS,NLD,528
NETHERLANDS ANTILLES,ANT,530
NEW CALEDONIA,NCL,540
NEW ZEALAND,NZL,554
NICARAGUA,NIC,558
NIGER,NER,562
NIGERIA,NGA,566
NIUE,NIU,570
NORFOLK ISLAND,NFK,574
NORTHERN MARIANA ISLANDS,MNP,580
NORWAY,NOR,578
OMAN,OMN,512
PAKISTAN,PAK,586
PALAU,PLW,585
PALESTINIAN TERRITORY (OCCUPIED),PSE,275
PANAMA,PAN,591
PAPUA NEW GUINEA,PNG,598
PARAGUAY,PRY,600
PERU,PER,604
PHILIPPINES,PHL,608
PITCAIRN,PCN,612
POLAND,POL,616
PORTUGAL,PRT,620
PUERTO RICO,PRI,630
QATAR,QAT,634
REUNION,REU,638
ROMANIA,ROU,642
RUSSIAN FEDERATION,RUS,643
RWANDA,RWA,646
SAINT HELENA,SHN,654
SAINT KITTS AND NEVIS,KNA,659
SAINT LUCIA,LCA,662
SAINT PIERRE AND MIQUELON,SPM,666
SAINT VINCENT AND THE GRENADINES,VCT,670
SAMOA,WSM,882
SAN MARINO,SMR,674
SAO TOME AND PRINCIPE,STP,678
SAUDI ARABIA,SAU,682
SENEGAL,SEN,686
SERBIA AND MONTENEGRO,SCG,891
SEYCHELLES,SYC,690
SIERRA LEONE,SLE,694
SINGAPORE,SGP,702
SLOVAKIA,SVK,703
SLOVENIA,SVN,705
SOLOMON ISLANDS,SLB,090
SOMALIA,SOM,706
SOUTH AFRICA,ZAF,710
SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS,SGS,239
SPAIN,ESP,724
SRI LANKA,LKA,144
SUDAN,SDN,736
SURINAME,SUR,740
SVALBARD AND JAN MAYEN ISLANDS,SJM,744
SWAZILAND,SWZ,748
SWEDEN,SWE,752
SWITZERLAND,CHE,756
SYRIAN ARAB REPUBLIC,SYR,760
TAIWAN,TWN,158
TAJIKISTAN,TJK,762
TANZANIA,TZA,834
THAILAND,THA,764
TIMOR-LESTE,TLS,626
TOGO,TGO,768
TOKELAU,TKL,772
TONGA,TON,776
TRINIDAD AND TOBAGO,TTO,780
TUNISIA,TUN,788
TURKEY,TUR,792
TURKMENISTAN,TKM,795
TURKS AND CAICOS ISLANDS,TCA,796
TUVALU,TUV,798
UGANDA,UGA,800
UKRAINE,UKR,804
UNITED ARAB EMIRATES,ARE,784
UNITED KINGDOM,GBR,826
UNITED STATES,USA,840
UNITED STATES MINOR OUTLYING ISLANDS,UMI,581
URUGUAY,URY,858
UZBEKISTAN,UZB,860
VANUATU,VUT,548
VATICAN CITY STATE (HOLY SEE),VAT,336
VENEZUELA,VEN,862
VIET NAM,VNM,704
VIRGIN ISLANDS (BRITISH),VGB,092
VIRGIN ISLANDS (U.S.),VIR,850
WALLIS AND FUTUNA ISLANDS,WLF,876
WESTERN SAHARA,ESH,732
YEMEN,YEM,887
ZAMBIA,ZMB,894
ZIMBABWE,ZWE,716
